ConversationID,UtteranceID,Utterance,Speaker,StartTime,EndTime,Emotion,Sentiment,Sarcasm,Humor,Relevancy(Emo→Sen),Relevancy(Sar→Hum),Pride,Love
C_2,C_2_U_5,你是上门服务的,吕子乔,"00:00:05,401","00:00:07,400",surprise,positive,sarcastic,humor,-1,0,none,none
C_2,C_2_U_6,真应该在你脑子里装个抽水马桶,秦羽墨,"00:00:09,950","00:00:12,550",anger,negative,sarcastic,humor,-1,2,none,none
C_2,C_2_U_7,把那些恶心的东西都冲掉,秦羽墨,"00:00:12,551","00:00:14,700",disgust,negative,sarcastic,humor,-1,2,none,none
C_2,C_2_U_8,那他的大脑就,胡一菲,"00:00:14,701","00:00:15,600",joy,positive,sarcastic,humor,-1,1,none,none
C_2,C_2_U_9,整个冲掉了,胡一菲,"00:00:15,601","00:00:16,700",joy,positive,sarcastic,humor,-1,2,none,none
C_3,C_3_U_1,我好心把车借给他开,秦羽墨,"00:00:01,650","00:00:02,780",neutral,neutral,none,none,-1,0,none,none
C_3,C_3_U_2,可这家伙倒好,秦羽墨,"00:00:03,120","00:00:03,060",anger,negative,none,none,-1,1,none,none
C_3,C_3_U_3,两天帮我领回来三张罚单,秦羽墨,"00:00:04,370","00:00:07,280",sadness,negative,sarcastic,humor,-1,0,none,none
C_3,C_3_U_4,前两天我看见有人开了辆敞蓬跑车,吕子乔,"00:00:10,250","00:00:11,650",neutral,neutral,sarcastic,humor,-1,0,none,none
C_3,C_3_U_5,戴了个摩托车头盔的原来就是你啊,吕子乔,"00:00:12,690","00:00:13,780",surprise,positive,sarcastic,none,-1,0,none,none
C_3,C_3_U_6,没有我没有飙车,张伟,"00:00:13,190","00:00:15,030",fear,negative,none,none,0,0,none,none
C_3,C_3_U_7,他的确没有飚车,秦羽墨,"00:00:16,190","00:00:17,310",neutral,neutral,none,none,2,0,none,none
C_3,C_3_U_8,三张罚单是在同一个路口,秦羽墨,"00:00:17,030","00:00:18,120",sadness,negative,sarcastic,humor,2,0,none,none
C_3,C_3_U_9,还是同一个警察开的,秦羽墨,"00:00:19,870","00:00:19,560",sadness,negative,sarcastic,humor,2,0,none,none
C_3,C_3_U_10,违章的原因都一样,秦羽墨,"00:00:20,190","00:00:22,650",neutral,neutral,none,none,2,0,none,none
C_3,C_3_U_11,超出停车线,秦羽墨,"00:00:23,500","00:00:23,780",disgust,negative,sarcastic,none,0,0,none,none
C_3,C_3_U_12,是我的刹车有问题,秦羽墨,"00:00:24,150","00:00:24,900",anger,negative,sarcastic,humor,2,1,none,none
C_3,C_3_U_13,还是你的眼腈有问题呀,秦羽墨,"00:00:25,620","00:00:27,720",anger,negative,sarcastic,humor,2,2,none,none
C_4,C_4_U_1,你平时买颗大蒜都要讨价还价,秦羽墨,"00:00:00,320","00:00:02,638",anger,negative,sarcastic,humor,0,1,none,none
C_4,C_4_U_2,现在六百块只换了三张罚单,秦羽墨,"00:00:02,638","00:00:04,956",anger,negative,sarcastic,humor,2,0,none,none
C_4,C_4_U_3,你还说不变态呀,秦羽墨,"00:00:04,956","00:00:06,116",anger,negative,sarcastic,humor,0,0,none,none
C_4,C_4_U_4,谁说只有三张罚单,张伟,"00:00:06,116","00:00:07,854",neutral,negative,none,none,2,0,pride,none
C_4,C_4_U_5,你们已经有突破了,吕子乔,"00:00:07,854","00:00:09,207",neutral,positive,sarcastic,humor,0,1,none,none
C_4,C_4_U_6,那当然,张伟,"00:00:09,207","00:00:10,000",neutral,negative,none,none,-1,-1,none,none
C_4,C_4_U_7,昨天我领了第四张,张伟,"00:00:10,660","00:00:12,590",neutral,neutral,none,none,-2,0,none,none
C_5,C_5_U_1,钱主任发羊癫疯昏迷不醒这事,曾小贤,"00:00:01,530","00:00:03,910",neutral,positive,none,none,-2,0,none,none
C_5,C_5_U_2,你知不知道,曾小贤,"00:00:05,820","00:00:06,160",neutral,neutral,none,none,-2,0,none,none
C_5,C_5_U_3,是你干的,Lisa,"00:00:07,720","00:00:07,280",neutral,neutral,none,humor,1,0,none,none
C_5,C_5_U_4,当然不是,曾小贤,"00:00:08,970","00:00:09,570",neutral,negative,none,none,1,0,none,none
C_5,C_5_U_5,我听说台里最近副主任的位置是空着,曾小贤,"00:00:09,970","00:00:11,660",neutral,positive,none,none,1,0,none,none
C_5,C_5_U_6,我又听说,曾小贤,"00:00:12,160","00:00:13,940",neutral,neutral,none,none,1,0,none,none
C_5,C_5_U_7,台里最近正在招,曾小贤,"00:00:13,660","00:00:15,190",joy,positive,none,none,1,-1,none,none
C_5,C_5_U_8,新的副主任,曾小贤,"00:00:18,100","00:00:18,440",joy,positive,none,none,1,-1,none,none
C_5,C_5_U_9,是有这事儿吧,Lisa,"00:00:18,220","00:00:19,410",neutral,negative,sarcastic,none,1,0,none,none
C_5,C_5_U_10,不过电台人事又不归我管,Lisa,"00:00:20,600","00:00:22,660",neutral,negative,none,none,-2,1,none,none
C_5,C_5_U_11,你问我也没用呀,Lisa,"00:00:22,600","00:00:24,600",neutral,negative,none,none,-2,-1,none,none
C_6,C_6_U_1,不过我真没时间没功夫跟你耗,Lisa,"00:00:00,000","00:00:02,454",disgust,negative,none,none,-2,0,pride,none
C_6,C_6_U_2,你可以自己去人力资源部面试呀,Lisa,"00:00:02,454","00:00:05,098",neutral,negative,sarcastic,none,-2,0,none,none
C_6,C_6_U_3,对呀人力资源部,曾小贤,"00:00:05,098","00:00:06,440",surprise,positive,none,none,-2,0,none,none
C_6,C_6_U_4,我们台里有这个部吗,曾小贤,"00:00:07,180","00:00:08,560",surprise,neutral,none,none,-2,-1,pride,none
C_6,C_6_U_5,难怪你混了这么多年还是在深夜节目,Lisa,"00:00:09,590","00:00:12,136",neutral,negative,sarcastic,humor,-2,0,pride,none
C_6,C_6_U_6,别告诉我人事部你一个人都不认识啊,Lisa,"00:00:12,136","00:00:15,430",neutral,negative,sarcastic,none,2,0,pride,none
C_7,C_7_U_1,你还写了申请信,Lisa,"00:00:00,000","00:00:02,112",surprise,positive,sarcastic,none,2,0,pride,none
C_7,C_7_U_2,对啊,曾小贤,"00:00:02,112","00:00:02,650",joy,positive,none,none,2,0,pride,none
C_7,C_7_U_3,我上厕所的时候顺便写的,曾小贤,"00:00:03,360","00:00:06,630",joy,positive,none,humor,2,0,pride,none
C_7,C_7_U_4,我明明放在身上,曾小贤,"00:00:08,521","00:00:10,352",fear,negative,none,none,2,0,none,none
C_7,C_7_U_5,怎么没了,曾小贤,"00:00:10,352","00:00:11,137",surprise,negative,none,none,2,0,none,none
C_7,C_7_U_6,不会是你上完厕所顺便用掉了吧,Lisa,"00:00:11,137","00:00:14,820",neutral,negative,sarcastic,humor,2,-2,none,none
C_7,C_7_U_7,不可能,曾小贤,"00:00:15,150","00:00:16,880",sadness,negative,none,none,2,-1,none,none
C_8,C_8_U_1,你还帮悠悠介绍了工作,胡一菲,"00:00:00,600","00:00:02,795",surprise,positive,none,none,2,0,none,none
C_8,C_8_U_2,是啊电视剧女一号,曾小贤,"00:00:02,795","00:00:04,332",joy,positive,none,none,2,0,pride,none
C_8,C_8_U_3,什么电视剧,胡一菲,"00:00:04,332","00:00:05,430",neutral,neutral,none,none,1,0,none,none
C_8,C_8_U_4,不会是雷阵雨的续集吧,胡一菲,"00:00:05,430","00:00:07,626",neutral,positive,sarcastic,humor,1,-1,none,none
C_8,C_8_U_5,当然不是,曾小贤,"00:00:07,626","00:00:08,504",joy,positive,none,none,2,0,pride,none
C_8,C_8_U_6,她今天应该已经去面试了,曾小贤,"00:00:08,504","00:00:10,910",joy,positive,none,none,-2,0,pride,none
C_8,C_8_U_7,太好了曾老师,关谷神奇,"00:00:10,910","00:00:12,110",joy,positive,none,none,2,0,none,none
C_8,C_8_U_8,这样悠悠一定会很高兴的,关谷神奇,"00:00:12,440","00:00:14,420",joy,positive,none,none,2,0,none,none
C_8,C_8_U_9,瞎猫撞上死耗子,胡一菲,"00:00:14,420","00:00:15,680",neutral,negative,sarcastic,humor,2,2,none,none
C_8,C_8_U_10,试镜还不一定成功的,胡一菲,"00:00:15,680","00:00:17,300",neutral,negative,sarcastic,none,2,0,none,none
C_8,C_8_U_11,高兴什么呀,胡一菲,"00:00:17,300","00:00:18,180",neutral,negative,sarcastic,none,2,0,none,none
C_9,C_9_U_1,可我一点胜算都没有,唐悠悠,"00:00:01,280","00:00:02,940",fear,negative,none,none,2,0,pride,none
C_9,C_9_U_2,我又没演过女一号也没发过唱片,唐悠悠,"00:00:03,970","00:00:03,900",fear,negative,none,none,2,-1,pride,none
C_9,C_9_U_3,不像她们,唐悠悠,"00:00:04,840","00:00:05,030",fear,negative,none,none,2,0,pride,none
C_9,C_9_U_4,她们怎么了,胡一菲,"00:00:05,870","00:00:06,150",anger,negative,sarcastic,none,2,0,pride,none
C_9,C_9_U_5,不就臭显摆吗,胡一菲,"00:00:07,090","00:00:07,440",anger,negative,sarcastic,none,2,0,pride,none
C_9,C_9_U_6,见不见得了光还不知道呢,胡一菲,"00:00:08,120","00:00:10,530",anger,negative,sarcastic,none,2,0,pride,none
C_9,C_9_U_7,就是你好歹应该试一下嘛,曾小贤,"00:00:11,220","00:00:11,650",neutral,negative,none,none,2,1,none,none
C_9,C_9_U_8,可我拿什么试呀,唐悠悠,"00:00:12,750","00:00:13,780",sadness,negative,sarcastic,humor,1,0,pride,none
C_9,C_9_U_9,曾小贤都死皮赖脸地求上进,胡一菲,"00:00:13,470","00:00:15,190",neutral,negative,sarcastic,humor,2,1,none,none
C_9,C_9_U_10,更别说你了,胡一菲,"00:00:16,870","00:00:17,690",neutral,positive,sarcastic,humor,2,1,pride,none
C_10,C_10_U_1,现在的演艺圈太不靠谱,曾小贤,"00:00:00,000","00:00:01,884",neutral,negative,sarcastic,none,-1,0,none,none
C_10,C_10_U_2,什么阿猫阿狗都可以当演员,曾小贤,"00:00:01,884","00:00:04,145",anger,neutral,sarcastic,none,-1,0,none,none
C_10,C_10_U_3,那有什么办法啊,胡一菲,"00:00:04,145","00:00:05,464",anger,negative,none,none,-1,0,none,none
C_10,C_10_U_4,现在演戏的都去唱歌了,胡一菲,"00:00:05,464","00:00:07,348",disgust,negative,sarcastic,humor,1,1,none,none
C_10,C_10_U_5,唱不了歌的都去写书了,胡一菲,"00:00:07,348","00:00:09,232",disgust,negative,sarcastic,humor,1,1,none,none
C_10,C_10_U_6,写不了书的都去演戏了,胡一菲,"00:00:09,232","00:00:10,730",disgust,negative,sarcastic,humor,1,1,none,none
C_10,C_10_U_7,演不了戏的就又去唱歌了,胡一菲,"00:00:10,880","00:00:12,040",disgust,negative,sarcastic,humor,-1,1,none,none
C_10,C_10_U_8,演艺圈是个圈嘛,胡一菲,"00:00:12,390","00:00:13,910",neutral,neutral,sarcastic,humor,-1,0,none,none
C_11,C_11_U_1,麻烦你把求上进前面的修辞手法,曾小贤,"00:00:00,730","00:00:04,693",anger,negative,none,none,-1,0,none,none
C_11,C_11_U_2,去掉好不好,曾小贤,"00:00:04,693","00:00:05,683",anger,negative,none,none,2,0,none,none
C_11,C_11_U_3,一菲的意思是你跟曾老师不一样,关谷神奇,"00:00:05,931","00:00:09,399",neutral,neutral,none,none,-1,1,none,growing
C_11,C_11_U_4,你有基础有特长,关谷神奇,"00:00:09,399","00:00:10,577",neutral,neutral,sarcastic,none,-1,0,none,growing
C_11,C_11_U_5,更有我们大家对你的信心啊,关谷神奇,"00:00:10,577","00:00:13,140",neutral,positive,sarcastic,none,2,0,pride,growing
C_11,C_11_U_6,这话怎么也听起来怪怪的,曾小贤,"00:00:15,020","00:00:16,560",sadness,negative,none,none,1,-1,none,none
C_12,C_12_U_1,要车没有要命一条,秦羽墨,"00:00:01,020","00:00:02,980",neutral,neutral,none,humor,1,0,none,none
C_12,C_12_U_2,谁说我要车你歧视我,张伟,"00:00:02,980","00:00:05,430",anger,negative,none,humor,1,1,none,none
C_12,C_12_U_3,那你要干什么,秦羽墨,"00:00:05,430","00:00:06,870",neutral,positive,none,none,1,1,none,none
C_12,C_12_U_4,你再借我二百块钱吧,张伟,"00:00:07,900","00:00:09,480",neutral,neutral,none,none,1,1,none,none
C_12,C_12_U_5,你怎么不去买块豆腐撞死算了,秦羽墨,"00:00:10,050","00:00:12,854",anger,negative,sarcastic,humor,1,2,none,none
C_12,C_12_U_6,你还想开罚单呀,秦羽墨,"00:00:12,854","00:00:14,364",anger,negative,sarcastic,humor,1,0,none,none
C_12,C_12_U_7,脑子进水了吧,秦羽墨,"00:00:14,364","00:00:15,659",anger,negative,sarcastic,humor,2,2,none,none
C_12,C_12_U_8,羽墨不要说别人脑子进水,吕子乔,"00:00:15,659","00:00:17,816",neutral,neutral,none,none,2,1,none,none
C_12,C_12_U_9,脑子进水前提是要有脑子,吕子乔,"00:00:17,816","00:00:20,170",neutral,negative,sarcastic,humor,2,2,none,none
C_13,C_13_U_1,一鼓作气把她约出来,秦羽墨,"00:00:00,000","00:00:01,005",neutral,positive,none,none,2,1,none,none
C_13,C_13_U_2,这可是你说的,秦羽墨,"00:00:01,005","00:00:02,011",neutral,positive,none,none,2,-1,none,none
C_13,C_13_U_3,可是可是这太突然了,张伟,"00:00:02,011","00:00:03,822",joy,positive,none,none,1,-1,none,immediate
C_13,C_13_U_4,我一点准备都没有啊,张伟,"00:00:03,822","00:00:05,834",joy,positive,none,none,1,0,none,immediate
C_13,C_13_U_5,这需要什么准备,秦羽墨,"00:00:05,834","00:00:07,242",neutral,negative,sarcastic,none,2,0,none,none
C_13,C_13_U_6,我的车不也是在毫无准备的情况下,秦羽墨,"00:00:07,242","00:00:10,250",neutral,negative,sarcastic,humor,2,2,none,none
C_13,C_13_U_7,被你贴了四张罚单嘛,秦羽墨,"00:00:10,250","00:00:11,376",anger,negative,sarcastic,humor,2,2,none,none
C_13,C_13_U_8,可是我根本不了解她会不会太唐突,张伟,"00:00:11,376","00:00:13,800",fear,positive,none,none,-1,0,none,immediate
C_14,C_14_U_1,张伟现在局面对你没有坏处,吕子乔,"00:00:00,000","00:00:01,717",neutral,neutral,none,none,-1,0,none,none
C_14,C_14_U_2,你和她之间都是一片空白,吕子乔,"00:00:01,717","00:00:03,60",neutral,neutral,none,none,-1,1,none,none
C_14,C_14_U_3,只要你扬长避短,吕子乔,"00:00:03,607","00:00:05,324",neutral,neutral,none,none,-1,1,none,none
C_14,C_14_U_4,莫兰一定看不出你有多猥琐,吕子乔,"00:00:05,324","00:00:07,042",neutral,neutral,sarcastic,humor,-1,-1,none,none
C_14,C_14_U_5,去我有什么短需要避的,张伟,"00:00:07,042","00:00:08,760",anger,negative,none,none,-1,0,none,none
C_14,C_14_U_6,比如没房没车,秦羽墨,"00:00:09,480","00:00:10,969",anger,neutral,sarcastic,humor,-1,-2,none,none
C_14,C_14_U_7,还欠我八百块,秦羽墨,"00:00:10,969","00:00:12,210",anger,neutral,sarcastic,humor,-1,-2,none,none
C_14,C_14_U_8,还有抠门寒酸废话太多,吕子乔,"00:00:12,210","00:00:14,960",neutral,neutral,sarcastic,humor,-1,-1,none,none
C_15,C_15_U_1,我是为了让她面试成功嘛,曾小贤,"00:00:00,000","00:00:01,640",neutral,negative,none,none,-1,1,none,none
C_15,C_15_U_2,一点小小的牺牲没关系的,曾小贤,"00:00:01,640","00:00:03,644",neutral,neutral,none,none,0,0,none,none
C_15,C_15_U_3,小小的牺牲,关谷神奇,"00:00:03,644","00:00:04,555",anger,positive,sarcastic,none,2,0,none,none
C_15,C_15_U_4,那是面试应该穿的衣服吗,关谷神奇,"00:00:04,555","00:00:06,560",anger,negative,sarcastic,none,2,0,none,none
C_15,C_15_U_5,她穿成那样都可以直接做心脏移植手术了,关谷神奇,"00:00:06,560","00:00:09,840",anger,negative,sarcastic,humor,2,2,none,none
C_16,C_16_U_1,你抓凶手真的是一针见血,关谷神奇,"00:00:00,000","00:00:01,590",anger,positive,sarcastic,humor,2,2,none,none
C_16,C_16_U_2,应该的应该的,曾小贤,"00:00:01,920","00:00:02,947",fear,negative,none,none,0,1,pride,none
C_16,C_16_U_3,这都是你的错,关谷神奇,"00:00:02,947","00:00:04,180",anger,negative,none,none,2,1,none,none
C_16,C_16_U_4,你的金玉良言所以你来搞定,关谷神奇,"00:00:04,180","00:00:06,852",anger,negative,none,none,2,1,none,none
C_16,C_16_U_5,如果悠悠被人潜规则,关谷神奇,"00:00:06,852","00:00:08,496",anger,negative,none,none,0,0,none,none
C_16,C_16_U_6,我不会放过你的,关谷神奇,"00:00:08,496","00:00:10,120",anger,negative,none,none,2,0,none,none
C_17,C_17_U_1,真没想到,张伟,"00:00:00,000","00:00:00,780",surprise,neutral,none,none,0,0,none,immediate
C_17,C_17_U_2,你会出来一起晚餐,张伟,"00:00:02,100","00:00:03,530",surprise,positive,none,none,2,0,none,immediate
C_17,C_17_U_3,总罚你我都有点不太好意思了,莫兰,"00:00:05,330","00:00:08,200",neutral,neutral,sarcastic,humor,0,-2,none,none
C_17,C_17_U_4,对了你的罚单交了没有,莫兰,"00:00:12,329","00:00:14,640",neutral,neutral,none,none,-1,0,none,none
C_17,C_17_U_5,还没不着急吧,张伟,"00:00:14,970","00:00:16,340",neutral,neutral,none,none,-2,-1,none,none
C_17,C_17_U_6,你要是再不交的话,莫兰,"00:00:16,340","00:00:18,167",neutral,negative,none,none,-2,1,none,none
C_17,C_17_U_7,可是要交滞纳金了一天百分之五呢,莫兰,"00:00:18,167","00:00:21,593",neutral,negative,none,none,-2,0,none,none
C_17,C_17_U_8,是吗,张伟,"00:00:21,593","00:00:22,070",surprise,positive,none,humor,1,0,none,none
C_18,C_18_U_1,羽墨,张伟,"00:00:02,603","00:00:02,969",neutral,negative,none,none,1,-1,none,none
C_18,C_18_U_2,赶紧帮我把罚单交了,张伟,"00:00:02,969","00:00:04,616",fear,negative,none,none,1,0,none,none
C_18,C_18_U_3,否则就要滞纳金了,张伟,"00:00:04,616","00:00:06,070",fear,negative,none,none,1,-1,none,none
C_18,C_18_U_4,你还有没有点出息,秦羽墨,"00:00:06,620","00:00:08,369",disgust,negative,sarcastic,none,1,0,none,none
C_18,C_18_U_5,你正在约会呢怎么还老惦记着钱,秦羽墨,"00:00:08,369","00:00:11,212",neutral,negative,sarcastic,none,1,0,none,none
C_18,C_18_U_6,你这是干嘛,张伟,"00:00:11,212","00:00:12,525",neutral,positive,sarcastic,none,1,0,none,none
C_18,C_18_U_7,制服诱惑,张伟,"00:00:12,525","00:00:13,410",neutral,positive,sarcastic,humor,-2,-1,none,none
C_18,C_18_U_8,今天Cris请假就把衣服借给我了,秦羽墨,"00:00:13,740","00:00:15,840",neutral,neutral,none,none,-2,0,none,none
C_18,C_18_U_9,我要是不过来看着你,秦羽墨,"00:00:15,840","00:00:16,740",neutral,neutral,none,none,-2,1,none,none
C_18,C_18_U_10,搞不好你又给我带张罚单回来,秦羽墨,"00:00:16,740","00:00:19,110",neutral,neutral,sarcastic,humor,-2,1,none,none
C_18,C_18_U_11,我都不知道跟他聊什么,张伟,"00:00:19,810","00:00:21,756",sadness,negative,none,none,-2,1,none,none
C_18,C_18_U_12,还好我早有准备,秦羽墨,"00:00:21,756","00:00:24,210",neutral,positive,none,none,-2,-1,pride,none
C_19,C_19_U_1,感觉怎么样啊,佳明,"00:00:00,000","00:00:00,890",neutral,neutral,none,none,-2,0,none,none
C_19,C_19_U_2,紧张,莫兰,"00:00:01,220","00:00:01,772",fear,negative,none,none,2,0,pride,none
C_19,C_19_U_3,这是你今年第八次相亲了,佳明,"00:00:01,772","00:00:04,537",fear,negative,sarcastic,humor,2,-2,none,none
C_19,C_19_U_4,可不能再黄了,佳明,"00:00:04,537","00:00:06,195",fear,negative,sarcastic,humor,2,-2,none,none
C_19,C_19_U_5,我觉得那小子还不错,佳明,"00:00:06,195","00:00:08,960",neutral,neutral,none,none,2,-1,none,none
C_19,C_19_U_6,可我可我都不知道跟他聊什么呀,莫兰,"00:00:10,010","00:00:12,448",fear,negative,none,none,2,-1,pride,none
C_19,C_19_U_7,你千万别再跟他提你以前当刑警的事儿,佳明,"00:00:12,448","00:00:15,408",fear,negative,sarcastic,humor,2,-2,none,none
C_19,C_19_U_8,我可不想再把人吓跑了,佳明,"00:00:15,408","00:00:17,130",neutral,neutral,sarcastic,humor,2,-2,none,none
C_19,C_19_U_9,我把你调去做交警,佳明,"00:00:17,460","00:00:18,842",neutral,negative,none,none,2,0,none,none
C_19,C_19_U_10,就是希望你能淑女一点,佳明,"00:00:18,842","00:00:20,570",neutral,negative,none,none,2,-1,none,none
C_19,C_19_U_11,否则怎么嫁人啊,佳明,"00:00:20,570","00:00:21,800",neutral,negative,none,none,2,-1,none,none
C_20,C_20_U_1,干嘛,秦羽墨,"00:00:00,910","00:00:01,750",neutral,negative,none,none,1,-1,none,none
C_20,C_20_U_2,你是新来的服务员,服务员,"00:00:02,330","00:00:04,130",neutral,neutral,none,none,1,0,none,none
C_20,C_20_U_3,是这样的,秦羽墨,"00:00:04,130","00:00:04,930",neutral,neutral,none,none,2,-1,none,none
C_20,C_20_U_4,今天cris请假,秦羽墨,"00:00:04,930","00:00:05,930",neutral,neutral,none,none,-2,0,none,none
C_20,C_20_U_5,我来替她的班,秦羽墨,"00:00:05,930","00:00:07,130",neutral,neutral,none,none,2,0,none,none
C_20,C_20_U_6,就算是临时替班也要遵守职业规范呀,服务员,"00:00:07,130","00:00:10,330",anger,negative,none,none,2,1,none,none
C_20,C_20_U_7,上班的时候怎么可以和客人搭讪,服务员,"00:00:10,330","00:00:13,100",anger,negative,none,none,2,0,none,none
C_20,C_20_U_8,这个,秦羽墨,"00:00:13,100","00:00:13,500",neutral,neutral,none,none,2,0,none,none
C_20,C_20_U_9,我在给他点菜呀,秦羽墨,"00:00:13,500","00:00:16,000",neutral,neutral,none,none,2,0,none,none
C_21,C_21_U_1,你什么时候下班,佳明,"00:00:01,190","00:00:02,630",joy,positive,none,none,2,0,none,immediate
C_21,C_21_U_2,我可不可以约你去看电影,佳明,"00:00:03,410","00:00:03,910",joy,positive,none,none,2,0,none,immediate
C_21,C_21_U_3,当然可以,秦羽墨,"00:00:04,280","00:00:05,880",joy,positive,none,none,2,0,none,immediate
C_21,C_21_U_4,为什么要等到下班现在就可以,秦羽墨,"00:00:06,000","00:00:07,130",joy,positive,none,none,2,0,none,immediate
C_21,C_21_U_5,走,秦羽墨,"00:00:08,070","00:00:10,380",joy,positive,none,none,2,0,none,immediate
C_21,C_21_U_6,慢着,佳明,"00:00:11,320","00:00:13,630",neutral,neutral,none,none,2,0,none,immediate
C_21,C_21_U_7,我怎么总觉得,佳明,"00:00:13,470","00:00:14,750",neutral,neutral,none,humor,2,0,none,none
C_21,C_21_U_8,有件事像没做完的样子,佳明,"00:00:14,440","00:00:17,000",neutral,neutral,none,humor,1,-1,none,none
C_21,C_21_U_9,我也有这种感觉,秦羽墨,"00:00:18,720","00:00:19,250",neutral,neutral,none,humor,2,0,none,none
C_21,C_21_U_10,不过管它呢人生每天都是这样,秦羽墨,"00:00:20,410","00:00:22,660",joy,positive,none,none,2,-1,none,immediate
C_21,C_21_U_11,再不走电影就开场了,秦羽墨,"00:00:22,350","00:00:23,380",joy,positive,none,none,-1,-1,none,immediate
C_22,C_22_U_1,那也没必要把幼儿园的折纸比赛也写进去吧,曾小贤,"00:00:00,130","00:00:03,611",neutral,neutral,sarcastic,humor,-1,-2,none,none
C_22,C_22_U_2,这你就不懂了,胡一菲,"00:00:03,611","00:00:04,711",neutral,neutral,none,none,-1,0,pride,none
C_22,C_22_U_3,这些比赛都非常能说明问题,胡一菲,"00:00:04,711","00:00:06,880",neutral,negative,none,none,1,0,pride,none
C_22,C_22_U_4,说明你的折纸技术十分高超,曾小贤,"00:00:08,160","00:00:10,048",surprise,positive,sarcastic,humor,1,1,none,none
C_22,C_22_U_5,错从小获得过多少荣誉,胡一菲,"00:00:10,048","00:00:11,936",neutral,negative,none,none,1,1,none,none
C_22,C_22_U_6,能够体现一个人的竞争意识,胡一菲,"00:00:11,936","00:00:14,590",neutral,neutral,none,none,-1,0,pride,none
C_23,C_23_U_1,可是关谷跟我说,唐悠悠,"00:00:00,380","00:00:01,640",neutral,neutral,none,none,-1,0,none,none
C_23,C_23_U_2,他没拿过什么荣誉啊,唐悠悠,"00:00:01,640","00:00:03,260",neutral,neutral,none,none,-1,0,none,none
C_23,C_23_U_3,他最多也就参加过神川奈县的篮球比赛,唐悠悠,"00:00:03,260","00:00:06,320",neutral,neutral,none,humor,2,0,none,none
C_23,C_23_U_4,可是在初赛就被湘北高中淘汰了,唐悠悠,"00:00:06,320","00:00:08,830",neutral,neutral,none,humor,-1,0,none,none
C_23,C_23_U_5,湘北,曾小贤,"00:00:09,770","00:00:10,280",surprise,neutral,none,none,-1,-1,none,none
C_23,C_23_U_6,怎么听着这么眼熟啊,曾小贤,"00:00:10,280","00:00:12,460",neutral,neutral,none,humor,2,0,none,none
C_24,C_24_U_1,这不会是你们的恶作剧吧,唐悠悠,"00:00:00,000","00:00:02,600",fear,negative,none,none,1,0,none,none
C_24,C_24_U_2,是啊,陈美嘉,"00:00:02,600","00:00:03,120",neutral,negative,none,none,1,0,none,none
C_24,C_24_U_3,这是谁的恶作剧,陈美嘉,"00:00:03,120","00:00:04,700",neutral,negative,none,none,1,0,none,none
C_24,C_24_U_4,这招也太损了吧,吕子乔,"00:00:05,100","00:00:06,570",neutral,negative,sarcastic,none,1,0,none,none
