ConversationID,TopicDescription
C_35,曾小贤跟展博在酒吧聊关于给胡一菲找了按摩师傅治疗
C_36,黄师傅按摩被打，曾小贤一行人表现出很吃惊和不理解
C_37,展博向曾小贤询问黄师傅的伤情，曾小贤表示黄师傅仍神志不清
C_38,曾小贤狡辩找黄师傅的原因是相信他，被吕子乔戳穿
C_39,曾小贤在酒吧向展博炫耀自己练成了铁砂掌
C_40,唐悠悠对自己账号买了巧克力表示震惊，被戳穿是美嘉干的
C_41,关谷神奇向唐悠悠下保证，被唐悠悠质疑关谷故意拖延订婚派对时间
C_42,关谷想要拖延时间被唐悠悠和陈美嘉看穿
C_43,诺澜向曾小贤解释请求他的原谅
C_44,胡一菲在教室 训斥学生不交作业不务正业封建迷信，学生在一旁狡辩
C_45,胡一菲向学生讲道理，被学生顶嘴惹得胡一菲生气
C_46,胡一菲质问学生是否没有写作业，学生以做梦为理由找借口
C_47,学生说自己收听广播节目，胡一菲显得更加生气
C_48,心理医生向胡一菲讲曾经的病人如何对待自己，令胡一菲很吃惊
C_49,陈美嘉来产科医院很紧张，唐悠悠陪同她并且安慰她
C_50,唐悠悠安慰陈美嘉去看医生，确定是否怀孕，陈美嘉坚称自己不会检测错
C_51,胡一菲对鱼缸老板没有原则的行为很生气，对他发脾气
C_52,胡一菲和曾小贤讨论鱼缸一事，曾小贤表示不理解胡一菲的行为
C_53,胡一菲解释怕被骗才让曾小贤帮，曾小贤仍不理解
C_54,医生和关谷神奇在酒吧产生误会，医生认为关谷很不负责任
C_55,医生提醒关谷应该关注美嘉的身体状况，两人仍被蒙在鼓里
C_56,医生很气愤对关谷发脾气，关谷仍不清楚事情的原委表现得很无辜
C_57,曾小贤解释他和胡一菲是清白的，被好友等人质疑并嘲讽
C_58,曾小贤向胡一菲说好话，胡一菲嘴硬不认
C_59,胡一菲咨询心理医生，心理医生表示她一切正常
C_60,关谷受伤，陈美嘉向关古道歉，关谷希望美嘉以后不要乱来
C_61,唐悠悠等人在客厅一起讨论美嘉怀孕一事，美嘉也向大家表示歉意
C_62,曾小贤向美嘉打探孩子父亲，美嘉支支吾吾不肯说
C_63,展鹏炫耀自己讲的令听众大为震撼，被吕子乔反驳
C_64,胡一菲和曾小贤聊关于广告词，曾小贤反问胡一菲
C_65,好友一行在客厅帮助陈美嘉想官宣的主意，表示一定要隆重
C_66,陈美嘉纠结不知道怎么告诉男友，唐悠悠鼓励她应该让他负责
C_67,吕子乔鼓励展博要振作起来，帮助展博想对策
C_68,陈美嘉在酒吧责备好友帮倒忙，关谷仍火上浇油
C_69,曾小贤试探胡一菲是否愿意让诺澜搬进公寓，胡一菲嘴上同意却仍然阻拦
C_70,胡一菲找房东商量再租一套，不让房东租给其他人
C_71,唐悠悠关谷在酒吧突袭来劝美嘉和男友，男友却蒙在鼓里
C_72,关谷和唐悠悠套吕子乔的话，吕子乔表现的很惊讶
C_73,曾小贤一再让利和房东谈租房价格，房东也一再退让却仍以失败告终
C_74,胡一菲打探曾小贤帮助诺澜租房子一事
C_75,曾小贤和胡一菲互怼，曾小贤解释并非想让诺澜住进公寓
C_76,好友四人在客厅猜测陈美嘉的孩子到底是谁的。吕子乔的嫌疑最大
C_77,吕子乔被婴儿车撞向好友寻求帮助，反倒掉进了好友的圈套之中
C_78,好友质问吕子乔和美嘉的事情，但吕子乔并没有理解好友的意思
C_79,吕子乔听到陈美嘉怀孕的消息后很是震惊，误以为和自己有关
C_80,吕子乔和美嘉独处，关心美嘉，但她仍不愿意说孩子是谁的
C_81,吕子乔向美嘉许诺会帮她找到孩子父亲，美嘉白感动了一场
C_82,曾小贤连续说错话刺激到美嘉的心灵，胡一菲在一旁提醒
C_83,胡一菲安慰陈美嘉不要太在意，美嘉心态也很乐观
C_84,陈美嘉在一旁胡言乱语，好友也不敢上前劝阻
C_85,好友发现美嘉并没有怀孕，纷纷表示不解
C_86,胡一菲和吕子乔聊天，吕子乔很紧张，解释孩子跟他并没有关系
C_87,吕子乔见心理医生，心里医生让吕子乔不要紧张
C_88,吕子乔和女生约会，女生误认为子乔不负责任
C_89,吕子乔被贴小纸条，好友们认为是女生的恶作剧
C_90,好友帮助子乔办派对却被出岔子，曾小贤和关谷对子乔很生气
C_91,好友认为吕子乔变好了是因为心理治疗有效果，子乔在一旁偷听
C_92,吕子乔和陌生人产生误会对其发脾气，实则是自己喊来的顶包师
C_93,顶包师劝说吕子乔，吕子乔却不忍屈服
C_94,吕子乔和顶包师挣扎，生气至极，要顶包师把身份换回来
C_95,听了心理医生的话，吕子乔决定实际去产房确定孩子的长相
C_96,医生找孩子的父亲，好友们表示具俊，子乔被迫承认
C_97,吕子乔刚承认自己是孩子的父亲，顶包师就来捣乱
C_98,吕子乔跳楼后好友讨论他的病情，话语中顺便带了些嘲讽
C_99,陈美嘉前来询问子乔的伤情，但表现出来的并不关心
C_100,吕子乔向美嘉讲自己的梦境，言简意赅，令好友震惊
C_101,胡一菲和唐悠悠两人在酒吧嘲讽美嘉笑的太假
C_102,胡一菲三人在酒吧和吕子乔探讨他的伤情
C_103,张伟再次出现，好友们在公寓探讨他出现的地点
C_104,张伟和好友们讲述自己和美女相遇的故事
C_105,关谷被手机里的垃圾短信震惊，胡一菲向他解释缘由
C_106,吕子乔怕小孩子影响到大张伟搭讪，劝说小朋友回家，但没能成功
C_107,吕子乔哄小孩子玩，因小孩子懂的太多，吕子乔被震惊
C_108,吕子乔和小女孩聊天，小女孩侃侃而谈再次惊讶到吕子乔
C_109,关谷和胡一菲讨论录音内容，胡一菲不敢相信内容详情
C_110,吕子乔无奈哄花花不要让她乱闹，答应她帮她写作业
C_111,小孩子向吕子乔讲大道理讲得让子乔内心慌乱
C_112,曾小贤兴致勃勃的向张伟讲童话故事
C_113,胡一菲向关谷分析曾小贤拒绝诺澜的原因，关谷并没有理解胡一菲的意思
C_114,关谷心虚问胡一菲 ，胡一菲向关谷解释
C_115,张伟和吕子乔谈论那天在酒吧和美女搭讪，吕子乔为张伟不争气感到无奈
C_116,张伟向吕子乔抱怨，吕子乔被张伟的没有情商震惊
C_117,唐悠悠向关谷讲解什么是文艺处女座，令关谷震惊
C_118,好友劝说曾小贤做选择，曾小贤纠结不知道怎么选择
C_119,关谷向胡一菲分析曾小贤纠结的心理
C_120,胡一菲告诉曾小贤诺澜要去美国，曾小贤表现出失落
C_121,胡一菲忍受不了曾小贤的逃避，向他发脾气
C_122,胡一菲逼迫曾小贤赶快做出决定
C_123,好友四人商量聚会时人员的选定问题
C_124,诺澜和好友们官宣与曾小贤谈恋爱一事
C_125,好友嘲讽张伟追女生太过于胆小
C_126,好友不理解张伟为什么不去主动，帮助张伟出招
C_127,吕子乔交给张伟如何撩妹，美嘉也嘲讽张伟没有腔调
C_128,吕子乔告诉张伟追女生的小技巧要大胆主动追击
C_129,关谷和唐悠悠讲述关谷父亲不来参加婚礼的原因
C_130,唐悠悠劝说关谷和父亲进行交流，邀请他参加自己的婚礼
C_131,曾小贤在酒吧请求吕子乔两人的帮助，被二人拒绝
C_132,吕子乔为了满足张伟而欺骗了他，曾小贤二人认为他做的不太妥当
C_133,吕子乔为他这样做找借口， 被美嘉怼了一顿
C_134,唐悠悠为关谷想办法如何才能和父亲进行交流
C_135,曾小贤偶遇张伟，请求他的帮助，张伟的行为令两人费解
C_136,诺澜和曾小贤去见胡一菲交谈，场面略显尴尬
C_137,胡一菲醉酒后向诺澜曾小贤两人讲道理
C_138,曾小贤怼张伟整天为了追女生太闹腾，一刻也不能消停
C_139,曾小贤向张伟发脾气并告诉了他被整蛊的实情
C_140,张伟顿悟被整蛊的一系列行为，并指责曾小贤没有及时告知他
C_141,张伟为了找出真相，考验在打台球的美嘉，美嘉成功上当
C_142,胡一菲喝醉后和诺澜在河边谈心
C_143,关谷再次指责父亲，唐悠悠认为两人之间存在隔阂
C_144,胡一菲警告曾小贤，告知曾小贤没有他新门锁的钥匙
C_145,曾小贤跟胡一菲索要之前送给她的杯子，互相赌气
C_146,曾小贤明面上和张伟聊天，实则每句话都在嘲讽胡一菲
C_147,胡一菲和曾小贤较劲，酒吧的好友也暗受牵连
C_148,吕子乔和张伟向胡一菲道歉，胡一菲原谅了他们
C_149,曾小贤询问张伟二人，张伟二人由于害怕胡一菲不敢乱说话
C_150,张伟两人瞒着胡一菲和曾小贤聊天被胡一菲发现
C_151,张伟认怂想要和胡一菲道歉
C_152,客人想要偷酒被店家抓个现行，无奈放下
C_153,小二解释水壶不保暖用手做实验，被浇开水强忍狡辩
C_154,客人炫耀自己改的书法，旁边的人迎合拍马屁叫好
C_155,店家暗地表漏想要还钱的想法被拒
C_156,手下向大当家汇报情况被训斥太怂
C_157,太君咨询大当家的想法，大当家拍太君的马屁
C_158,客人质疑酒是假酒，追着店家问，想要赖账不付钱
C_159,店掌柜认可客人说的话，并在暗地里讽刺他每次来蹭饭
C_160,队长在屋里享乐，手下在屋外羡慕嫉妒恨
C_161,店掌柜不满太君赖账，背地里骂他
C_162,师弟对师哥的过于善良感到不满
C_163,店掌柜对日本人的字号不满，生气放下筷子
C_164,掌柜盛情邀请好友吃饭，不满徒弟偏向日本人
C_165,掌柜在饭桌上向好友抱怨自己的徒弟在背地里向着日本人做事
C_166,两人在酒桌上产生矛盾，指责师弟帮着日本人做事
C_167,两人互相指责对方在为日本人做事，都是昧着良心之人
C_168,师弟来店里找人不招人待见，店小二也瞧不起他
C_169,店掌柜提醒好友不要被骗，暗地里指责其中一人
C_170,骗子被逼急险些暴露自己的真实身份
C_171,好友几人在酒馆一起指责谩骂叛变者没良心
C_172,手下向太君分析并保证阁楼里没有八路的身影
C_173,保禄向掌柜分析认为误解师弟了，掌柜认为他在犯傻
C_174,保禄向两人深入分析认为是自己太过于敏感才猜忌怀疑他
C_175,戴草帽的人未达到他的目的，掌柜也暗戳戳嘲讽他，无奈离开
C_176,太君两人想办法如何才能不让自己的罪行暴露
C_177,太君之间意见出现分歧，两人质疑黑藤太君的注意是否靠谱
C_178,太君之间商量比赛内容，惹得皇军不满
C_179,汉奸帮助皇军出主意，皇军认为他话里有话，眉头紧锁
C_180,汉奸来和店掌柜商量，店掌柜左右为难，不想和日本人公事
C_181,太君嘲笑贾大队长身子弱小，商量比拼摔跤比赛
C_182,汉奸分析太君想强风头，但纠结中国人也不是这么好对付
C_183,卖烟的小孩儿跟旁人开玩笑，被拉去帮他干活
C_184,两人极力阻拦不让他去和日本人摔跤
C_185,药店老板庆祝将狗皮膏药卖给了日本人，店掌柜也暗暗诅咒日本人
C_186,太君向汉奸解释日本人惨败，为了挽回颜面必须放下自己的脸面
C_187,师兄弟在酒桌上讨论摔跤比赛的事情
C_188,掌柜提醒摔跤的注意事项，师弟对此感到不满
C_189,贾队长向他显摆自己找的人很有水平，保证不会让他失望
C_190,太君向汉奸吹牛，汉奸明面上赞同，背地里嘲讽
C_191,贾贵用各种方法劝说他去当太君的对手
C_192,贾贵误解了太君的意思，并且还嘲讽太君
C_193,日本人夸赞店掌柜饭菜好，店掌柜在背地里嘲讽日本人
C_194,贾贵向店掌柜传话，店掌柜不听，还偷偷骂日本人
C_195,小孩帮助店掌柜要回了赊账的钱，店掌柜高兴不已
C_196,皇军和村民谈话，村民被逼无奈迎合日本人
C_197,两人谈论太君的事情，店掌柜依旧不满日本人，对他们表示不满
C_198,店掌柜着急不希望皇军来他们店里，很是担忧慌张
C_199,店掌柜为了应付日本人，下令让师弟把牲口的饭都给日本人吃
C_200,旁人向汉奸分析日本人哪个地位更重要，并且暗地骂汉奸
C_201,店小二发现八路莫名紧张，一时不知道该如何跟黄队长讲话
C_202,两人商讨如何面对日军的对策，情况紧急形势非常紧张
C_203,小男孩跟店小二讨论猜测日军的活动轨迹，店小二对日军表现出憎恨
C_204,店小二和小男孩开玩笑跟他分析为什么会选择这家店
C_205,日本人希望得到肯定，吴富贵在肯定他的同时还嘲讽了他们
C_206,日本人希望得到肯定，吴富贵在肯定他的同时还嘲讽了他们
C_207,日本人希望吴富贵为他效力，答应他不说出被八路军俘虏的事
C_208,小孩纳闷为什么吴富贵不跟着日本人，惹得吴富贵不满
C_209,店小二为了支开小孩，忽悠小孩让他去买菜
C_210,太君们在饭桌前讨论谁策划的装八路的主意
C_211,贾队长在店里索要衣服，店掌柜为难他不帮他拿
C_212,汉奸跟店掌柜抱怨好菜没有给他留，店掌柜在其中挑拨离间
C_213,贾队长在太君面前拍马屁，说太君的毛笔字写的好
C_214,汉奸想跟太君汇报情报，暗示排斥贾队长想要支开他
C_215,汉奸向太君汇报完情报，太君却没有给他任何好处
C_216,太君生气贾队长严刑逼供的方式，狠狠的训斥他
C_217,魏先生害怕太君，神情紧张，声称自己会衷心效劳日本人
C_218,太君很欣赏魏先生，乱用成语夸赞魏先生
C_219,太君想通过魏先生获取情报，魏先生卖关子要让太君和他同行
C_220,魏先生给太君一个名单，太君质疑名单的准确性
C_221,太君保证给魏先生好处，并任命他为一官职
C_222,贾队长看到魏先生升职，自己也想跟台军索要好处，被拒
C_223,太君为了让贾队长照顾魏先生，下令威胁贾队长
C_224,魏先生指使贾队长为他干活，气焰嚣张，魏队长很是不满
C_225,小孩子让贾队长还钱，惹得贾队长更加不满，心情郁闷
C_226,贾队长向两人抱怨自己的苦衷，出力不讨好
C_227,老先生为魏先生治疗，分析的头头是道
C_228,魏先生命令贾队长等人滚出去，惹得贾队长气愤
C_229,徒弟跟及贾队长解释原因，贾队长得罪两人，令两人都不高兴
C_230,魏先生向大夫询问病情，大夫分析后令魏先生心虚感到不满
C_231,大夫提醒魏先生，使得魏先生对他的身份产生了怀疑
C_232,大夫说出了真实身份，举枪对着魏先生，引得魏先生慌忙道歉
C_233,贾队长想要跟着魏先生一行一起，被魏先生一通训斥
C_234,贾队长解释想要保护魏先生，使得魏先生更加气愤
C_235,太君询问黄队长行动情况，黄队长向天君汇报
C_236,太君指责黄队长说名单是假的，黄队长内心也很憋屈
C_237,太君询问黄队长魏先生的下落，被太君一顿训斥
C_238,太君跟黄队长分析自己目前身处危险之中，黄队长不以为然
C_239,太君向黄队长解释具体原因，黄队长仍不明白太君的用意
C_240,太君一通夸奖贾队长，希望他能代替自己去参加会议
C_241,贾队长两人说悄悄话，黄队长内心慌乱认为自身不保
C_242,贾队长不明白皇军的意思，再次被皇军训斥
C_243,太君向贾队长分析现在的形势，以及他们接下来的行动
C_244,黄队长想要立即开展行动，被太君制止
C_245,饭店三人密谋一些事情，说自己捡到了传单，可以请客
C_246,三人想要庆祝他捡到了传单，另一人心有所思
C_247,穿军装的男人跟两人介绍真实情况，两人不可思议，十分紧张
C_248,三个人分析石青山佯装各种角色，认为很厉害
C_249,店掌柜对中午吃饭人的身份起疑心，跟徒弟一起分析
C_250,三人看到侦缉队的人低语咒骂
C_251,贾队长向太君炫耀自己的新行头，惹得天君生气不满
C_252,两人想对策如何不让侦缉队来自己的餐馆
C_253,徒弟想到对策如何让餐馆从食客中择出去，不与他们有牵连
C_254,太君训斥贾队长的行头过于狼狈
C_255,贾队长担心自己被所有人熟知，太君帮他出招解决
C_256,两人商量仍在餐馆谈论国事，不在乎餐馆的规定
C_257,两人想在餐馆谈论国事，被店掌柜及时制止，两人见状臭骂店掌柜
C_258,黄队长跟太君分析事情办的不对，太君认可他的做法
C_259,太君狮子大开口想要征服中国，贾队长在一旁嘲笑惹得太君不高兴
C_260,贾队长直率的将皇军的想法说了出来，太君很是不满
C_261,店掌柜讽刺太君“人缘好”，徒弟连忙安慰，让店掌柜听了更加不满
C_262,贾队长跟店掌柜商量希望百姓能多能来餐馆吃饭一事
C_263,贾队长不顾店掌柜生意，威胁店掌柜明天把人坐满
C_264,店掌柜无奈气愤，又不得不按照贾队长说的办
C_265,店掌柜欢迎石青山入店，还和他说了悄悄话
C_266,太君和石青山对话，石青山讽刺日本人，表示不满
C_267,石青山说出日本侵略中国的罪行，惹得太君非常气愤
C_268,石青山继续怼太君，换位思考，怼的太君说不出话
C_269,石青山表示自己强烈的爱国热情，尽管太君很气愤，但他仍然很敬重他
C_270,太君询问帽子是谁的，店掌柜给太君台阶下，缓解刚才的尴尬
C_271,冯老板把驴拉走想索要钱财，店掌柜为没有生意做很是发愁
C_272,店掌柜为了支走冯老板不在店内闹事，让徒弟跟他到屋内详谈
C_273,太君和文若名先生对话，太君表示欢迎，文若名嘲讽太君
C_274,太君和文若名谈论为何投奔八路，文若名接连怼得太君说不出话
C_275,太君并不认为自己有错，反而认为自己做的事很正确，再次被文若名谩骂
C_276,两人在屋内分析文若名教授被发现的原因
C_277,两人分析文若名先生的特点，表示营救他的行动有些困难
C_278,太君继续哄骗文若名先生，表示这是对中国好，文若名先生再次不满
C_279,太君见状说不过文若名，便威胁文若名听他的话
C_280,为了拉拢文若名，太君愿意答应他任何条件，文若名仍不给他台阶下，令他难堪
C_281,太君继续威胁他，但文若名先生仍然不屈服于日本人
C_282,三人押送文若名先生，文若名先生顺带骂三人当汉奸狗腿子
C_283,店掌柜吩咐徒弟关键时刻不要说错话乱说话
C_284,店掌柜具体举例指使徒弟，说话要向着皇军
C_285,店掌柜怕店内的抗日分子影响自己的生意，贾队长跟他解释
C_286,徒弟希望贾队长不要把老头留在他这里，被贾队长拒绝
C_287,贾队长表示希望文若名先生夸赞皇军，为此才将他送到餐馆
C_288,贾队长恳求希望文若名先生说日本人好话，文若名先生仍不屈服
C_289,文若名先生嘲讽贾队长当汉奸，不愿向日本人屈服
C_290,贾队长想要跟文若名来硬的，无奈怕无法跟日本人交代不得屈服
C_291,文若名继续谩骂指责日本人的罪行，被贾队长拒绝
C_292,贾队长用名利诱惑文若名，文若名并不对此感兴趣，表示气愤
C_293,文若名先生为表态度，以绝食抵抗，贾队长两人十分无奈
C_294,徒弟向店掌柜汇报是师娘能吃，店掌柜安慰他只要不添麻烦就好
C_295,冯老板不受他的威胁，表示自己一定要硬气一次
C_296,刘副官不满饭菜，店掌柜解释道没有食材可以做
C_297,店掌柜和刘副官互诉苦衷，表示自己的生意也难做
C_298,水根表示会给刘副官留饭菜，刘副官非常高兴
C_299,贾队长向文若名道歉，表示自己做的不对
C_300,水根来找徒弟，被徒弟一眼识破
C_301,店掌柜让他如实交代事实，录口供出囧
C_302,店掌柜对他起疑心，询问描述相见过程
C_303,秀才向掌柜慌忙解释这件事情不是他做的
C_304,掌柜为了找到真相询问另一个人，认为就是秀才露馅了
C_305,李秀莲解释事情经过，引起老白怀疑，很是气愤
C_306,李秀莲向老白二人描述工程量，二人对此表示诧异，非常震惊
C_307,挖地道的一行人抱怨音乐太悲伤，要求换欢快的音乐
C_308,老白希望得到李秀莲的谅解，不让他再计较
C_309,李秀莲晚归，被一行人询问，怀疑他没干好事
C_310,掌柜一行人追问不舍，李秀莲强行为自己辩解
C_311,李秀莲被询问回答不上来，急中生智反问回答
C_312,秀才被李秀莲怀疑通风报信，对此李秀莲很是生气
C_313,佟掌柜为了让李秀莲消消气，两人纷纷夸赞安慰他
C_314,李秀莲怒气冲冲进了店里，老白等盛情难却，对他热情招待
C_315,他们准备了一桌子佳肴，想等待小伙伴一起来吃，老白两人互怼起来
C_316,佟掌柜老白三人在饭桌上嘲讽模仿李秀莲
C_317,郭芙蓉和吕秀才因一只猫互怼了起来，两人互不相让
C_318,秀才眼睛出囧被老白和佟掌柜嘲笑
C_319,老白不满猫天天堵在餐馆门口，和郭芙蓉怼了起来
C_320,小六不满老白说的话，老白连忙安慰他
C_321,小六和大家描述采花贼的穿着和外貌
C_322,佟掌柜被警告不要对罪犯产生同情心
C_323,老白向佟掌柜描述分析如何抓贼的计划
C_324,佟掌柜担心贼不按照计划路线进行，老白再次进行心理分析
C_325,老白被撞鼻子，秀才嘲笑老白，两人再次互怼起来
C_326,李大嘴为了不让两人互掐，连忙安慰老白
C_327,秀才暗地对郭芙蓉不满，被郭芙蓉在后面偷听到
C_328,吕秀才再次将无双和郭芙蓉对比，说无双温柔，郭芙蓉暴力
C_329,郭芙蓉强势和秀才他谈话，吓得吕秀才惊慌失措
C_330,吕秀才为了安抚郭芙蓉，顺着她，自行离开
C_331,郭芙蓉向佟掌柜抱怨吕秀才惹她生气，咒骂他
C_332,佟掌柜向郭芙蓉讲自己遇到的事情，两人达成共识
C_333,两人交谈关于惹到郭芙蓉一事，表示害怕
C_334,两人夸张向大嘴解释她的威力，吓到大嘴深表震惊
C_335,小六和老白对峙，同时惹得佟掌柜不满，产生冲突
C_336,老白甜言蜜语哄佟掌柜开心
C_337,佟掌柜担心弟弟，老白向佟掌柜解释，并且连忙安慰她
C_338,佟掌柜担心自己弟弟太犟不好说话，老百想注意帮她
C_339,郭芙蓉吕秀才和好友分别，郭芙蓉拦着吕秀才前去送行
C_340,郭芙蓉和她分别时阴阳怪气，两人互怼
C_341,老白训斥秀才胆小，秀才害怕不已
C_342,郭芙蓉心虚认为无双跳河和她无关，被老白几人训斥没心没肺
C_343,佟掌柜和无双夸展堂，老白献殷勤被不给好脸色看
C_344,佟掌柜和无双夸赞展堂有智慧，顺带嘲讽老白两人鲁莽
C_345,小六在无双面前逞强，被无双嘲讽并表示瞧不起
C_346,老白等人和莫小贝发生冲突
C_347,小六在她们谈话时揭无双短，让无双难堪
C_348,无双安慰被抓的犯人，他表现的情绪十分强烈
C_349,佟掌柜来抚慰新抓的犯人，希望他不要生气
C_350,莫小贝抓错人，害的老白差点被马蜂窝咬伤
C_351,小六当众将责任推卸给展堂，五双和佟掌柜连忙哄他
C_352,犯人再次受伤，大喊大闹，盗贼和他对峙了起来
C_353,犯人向佟掌柜表白，佟掌柜间接表示拒绝
C_354,犯人不识字想让邢捕头帮他写字，邢捕头也不会，互相推让
C_355,邢捕头和犯人商量吃饭，被犯人拒绝
C_356,展堂等四人密谋如何解救佟掌柜的方案
C_357,展堂提议让湘玉和他回京城，被老白等人强烈反抗，认为此方案行不通
C_358,老白不忍心如此对待未婚妻和展堂对峙，展堂再次惹怒老白
C_359,小六等人探话犯人，问关于书信的事情
C_360,佟掌柜为了套话决定答应他，展堂恳请佟掌柜不和他洞房花烛
C_361,展堂安慰老白担保让他放心，佟掌柜也表示自己没事
C_362,众人细化行动方案，做好保护措施让老白放心
C_363,展堂向众人担保行动成功，佟掌柜决定放手一搏
C_364,老白酸秀才写情诗，被郭芙蓉等人嘲讽
C_365,大嘴趁佟掌柜开心想跟佟掌柜请假被拒
C_366,大嘴向佟掌柜保证最后一次请假，其他人纷纷表示不信
C_367,大嘴为了请假发疯，佟掌柜等人表示疑惑
C_368,众人分析李大嘴发疯的原因和是由
C_369,邢捕头为了替大嘴出气，像佟掌柜分析大嘴的优点
C_370,邢捕头怀疑 莫小贝也是犯罪嫌疑人
C_371,吕秀才激将法承认自己是凶手，点醒邢捕头即使抓到凶手也无法破案
C_372,佟掌柜老白和郭芙蓉三人担心大嘴被逼疯，寻找原因
C_373,大嘴承认自己是装疯，佟掌柜生气要再锁他两天
C_374,老白和郭芙蓉安抚佟掌柜，大嘴只是装疯，其他并无大碍
C_375,众人向小六求情请求放人，小六拒绝他们呢的请求不放
C_376,郭芙蓉向小六喂饭犒劳他，希望能够说服小六，小六仍是拒绝
C_377,老白诱惑小六教他抓贼的好方法，小六仍不上当
C_378,佟掌柜焦虑大家没有消停过，老白安慰佟掌柜很正常
C_379,佟掌柜刚想夸郭芙蓉手巧，看到她包饺子的手法后犹豫了
C_380,佟掌柜嘲讽郭芙蓉包饺子的手法奇特
C_381,老白佟掌柜吐槽郭芙蓉包的饺子皮里都是奇奇怪怪的东西，纷纷表示不敢吃
C_382,大家尝了郭芙蓉的饺子之后，为了安慰她纷纷装作很好吃的样子夸奖她
C_383,佟掌柜生气老白向她隐瞒一些事情，老白一脸懵，不知道如何解释
C_384,佟掌柜阴阳怪气跟老白说话，表现得很生气
C_385,郭芙蓉同样受到委屈，大伙想办法帮忙希望把佟掌柜的火气压下去
C_386,老白警告大嘴不要趁内部矛盾惹是生非
C_387,佟掌柜想要换人，郭芙蓉老白在一旁嘲讽，不认同她的做法
C_388,大嘴一行人哄莫小贝和自己站在一起，佟掌柜大发脾气表示愤怒
C_389,对面生意太好，邢捕头想来借筷子被佟掌柜拒绝不外借
C_390,大嘴老白商量不去帮佟掌柜，说服秀才也不听佟掌柜的呼喊
C_391,佟掌柜生气对面生意好，讽刺大嘴会做的菜少
C_392,佟掌柜训斥老白不去招呼客人，被强制到门口拉人
C_393,佟掌柜原想让秀才去算账，考虑到没收入就让他闲着
C_394,老白让大嘴整燕窝食材，大嘴着急弄不来，众人纷纷帮他出主意
C_395,佟掌柜询问菜是谁做的，大嘴等人纷纷推卸责任
C_396,老白在街头拉客人被邢捕头嘲讽，老白向邢捕头卖惨
C_397,佟掌柜因为生意不好难过，大嘴自信安慰佟掌柜
C_398,邢捕头解释店被搬空的原因，佟掌柜等人表示疑惑
C_399,分别时老白恳求她再干三天，可以给她结工钱
C_400,老白等人向佟掌柜献殷勤，给她按摩喂水果
C_401,郭芙蓉答应继续比拼，厨艺这方便郭芙蓉表示势在必得
C_402,莫小贝夸赞鸡蛋好吃，老白表示不信，亲自品尝
C_403,郭芙蓉为了拉拢莫小贝和老白，威逼利诱让他们屈服
C_404,佟掌柜安慰她希望她不要有压力，不要放在心上
C_405,郭芙蓉眼酸无双给秀才织衣服把它扣下来，被佟掌柜嘲讽缺德
